,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
176,0.14221982955932616,0.0078680907047314,0.002792501449584961,0.0003997805293733928,sqrt,351,16,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 16}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
177,0.14720549583435058,0.015250567115472553,0.0025934696197509764,0.0007977249001768128,sqrt,351,17,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 17}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
178,0.15338945388793945,0.009105712607309163,0.002792549133300781,0.0003988508507184162,sqrt,351,18,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 18}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
179,0.1203418254852295,0.006705862516303988,0.0017319679260253905,0.00038798404426114625,sqrt,351,19,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 19}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
180,0.1096466064453125,0.0015353916252223317,0.0012696266174316406,0.00060956400113159,sqrt,401,10,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 10}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
181,0.10919442176818847,0.0006670954331403681,0.0015092849731445312,0.0006110725689073035,sqrt,401,11,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 11}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
182,0.11070303916931153,0.0025236835618347147,0.0015969276428222656,0.0004883272551679151,sqrt,401,12,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 12}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
183,0.11130485534667969,0.0010141668423904666,0.0013985157012939454,0.0007970878084351938,sqrt,401,13,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 13}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
184,0.11197171211242676,0.002666679266593386,0.0017313003540039063,0.00039171032241783107,sqrt,401,14,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 14}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
185,0.11643891334533692,0.009674714873781052,0.0020592212677001953,0.0007155320746350232,sqrt,401,15,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 15}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
186,0.14400911331176758,0.03542006169244123,0.002792167663574219,0.0009772918653155962,sqrt,401,16,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 16}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
187,0.1224743366241455,0.008494431362565759,0.0017932891845703126,0.0007463291327512415,sqrt,401,17,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 17}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
188,0.11707086563110351,0.0014592832151794212,0.0016147136688232423,0.0003324517284520022,sqrt,401,18,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 18}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
189,0.11489253044128418,0.0023935398966808607,0.001794910430908203,0.00039832707245264395,sqrt,401,19,"{'max_features': 'sqrt', 'min_samples_leaf': 401, 'n_estimators': 19}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
190,0.10852370262145997,0.0015889213377175844,0.0009853363037109375,2.0153013522143998e-05,sqrt,451,10,"{'max_features': 'sqrt', 'min_samples_leaf': 451, 'n_estimators': 10}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
191,0.10956802368164062,0.0035613769410743398,0.0013370990753173828,0.0005492933379402577,sqrt,451,11,"{'max_features': 'sqrt', 'min_samples_leaf': 451, 'n_estimators': 11}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
